,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
484529,1,2,1754,1735,1958,1920,124,105,98,38,19,DFW,OMA,583,6,20,0,19,0,19,0,0
484870,1,2,1222,1145,1428,1355,246,250,228,33,37,DFW,PDX,1616,3,15,0,33,0,0,0,0
484901,1,2,1855,1815,2139,2105,104,110,83,34,40,ORD,RDU,647,2,19,0,24,10,0,0,0
484932,1,2,1537,1510,1755,1730,258,260,233,25,27,ORD,LAX,1745,14,11,0,0,25,0,0,0
485025,1,2,948,940,1359,1335,191,175,156,24,8,ORD,MIA,1197,13,22,0,0,8,16,0,0
485142,1,2,1727,1700,1823,1805,56,65,37,18,27,AUS,DFW,190,8,11,0,0,0,14,0,4
485173,1,2,1907,1850,2058,2040,231,230,208,18,17,DFW,SFO,1464,6,17,0,17,0,1,0,0
485235,1,2,2033,1930,2330,2250,117,140,102,40,63,DFW,CLT,936,5,10,0,16,0,0,0,24
485262,1,2,1706,1555,1933,1840,87,105,72,53,71,ELP,DFW,551,10,5,0,0,0,0,0,53
485290,1,2,1440,1400,1941,1910,181,190,162,31,40,FAT,DFW,1313,10,9,0,0,0,0,0,31
485379,1,2,1848,1825,2108,2040,200,195,170,28,23,FLL,DFW,1119,10,20,0,16,0,5,0,7
485534,1,2,1438,1430,1542,1520,124,110,86,22,8,DFW,ABQ,569,3,35,0,0,0,14,0,8
485627,1,2,1906,1755,2344,2245,158,170,140,59,71,SAN,DFW,1171,4,14,0,29,0,0,0,30
485778,1,2,2236,2100,14,2255,98,115,80,79,96,ORD,TUL,585,7,11,0,0,0,23,0,56
485809,1,2,1247,1215,1547,1530,120,135,105,17,32,DFW,JAX,919,4,11,0,17,0,0,0,0
485871,1,2,1538,1525,1721,1705,103,100,83,16,13,DFW,STL,551,4,16,0,13,0,3,0,0
485930,1,2,1155,1100,1316,1220,201,200,178,56,55,DFW,BUR,1231,4,19,0,20,0,1,0,35
486023,1,2,654,635,938,920,104,105,76,18,19,ORD,DCA,612,5,23,0,0,18,0,0,0
486109,1,2,1845,1735,1,2255,196,200,181,66,70,SJC,AUS,1476,5,10,0,12,0,0,0,54
486136,1,2,2005,1935,2129,2055,84,80,62,34,30,DFW,MSY,448,4,18,0,30,0,4,0,0
486225,1,2,2002,1900,2221,2120,79,80,57,61,62,ORD,DTW,235,8,14,0,0,14,0,0,47
486256,1,2,1444,1330,1913,1759,209,209,189,74,74,PHX,ORD,1440,9,11,0,0,0,21,0,53
486287,1,2,1007,945,1109,1045,62,60,34,24,22,AUS,DFW,190,15,13,0,0,0,2,0,22
486318,1,2,1224,1145,1320,1240,116,115,95,40,39,DFW,COS,592,6,15,0,39,0,1,0,0
486561,1,2,2100,1945,38,2310,218,205,201,88,75,BOS,MIA,1258,5,12,0,0,0,15,0,73
486592,1,2,1253,1220,1431,1400,98,100,78,31,33,DFW,STL,551,2,18,0,31,0,0,0,0
486743,1,2,1458,1445,1838,1820,160,155,136,18,13,DFW,DTW,987,10,14,0,13,0,5,0,0
486863,1,2,1816,1740,2103,2020,167,160,149,43,36,SAT,ORD,1041,8,10,0,0,0,23,0,20
486890,1,2,1035,1015,1300,1240,265,265,239,20,20,DFW,SEA,1660,9,17,0,20,0,0,0,0
487010,1,2,1028,1015,1608,1545,220,210,187,23,13,LAS,ORD,1515,9,24,0,0,0,23,0,0
487041,1,2,1822,1740,1921,1835,179,175,154,46,42,DFW,LAS,1055,7,18,0,25,0,4,0,17
487068,1,2,1530,1450,1712,1640,102,110,85,32,40,STL,DFW,551,7,10,0,7,0,0,0,25
487099,1,2,1350,1255,1650,1600,120,125,96,50,55,DFW,IND,762,10,14,0,44,0,0,0,6
487192,1,2,1211,1140,1425,1355,254,255,230,30,31,DFW,SEA,1660,4,20,0,30,0,0,0,0
487223,1,2,1817,1755,2153,2135,156,160,129,18,22,DFW,MIA,1121,13,14,0,18,0,0,0,0
487254,1,2,1108,1010,1328,1221,260,251,228,67,58,ORD,PSP,1652,16,16,0,0,58,9,0,0
487347,1,2,1703,1640,2137,2115,154,155,126,22,23,LAS,DFW,1055,13,15,0,2,0,0,0,20
487436,1,2,2035,1640,2308,1900,273,260,228,248,235,ORD,LAX,1745,15,30,0,189,11,13,0,35
487611,1,2,1839,1805,1945,1905,66,60,37,40,34,DFW,AUS,190,6,23,0,34,0,6,0,0
487665,1,2,1816,1710,2128,1935,252,205,170,113,66,FLL,ORD,1182,53,29,0,19,0,47,0,47
487791,1,2,701,635,1103,1035,182,180,165,28,26,ORD,FLL,1182,4,13,0,0,26,2,0,0
487853,1,2,1539,1435,1642,1545,63,70,46,57,64,DFW,SAT,247,5,12,0,57,0,0,0,0
487939,1,2,2126,2015,8,2259,102,104,84,69,71,ORD,DCA,612,3,15,0,0,33,0,0,36
487970,1,2,1357,1320,2017,1929,260,249,222,48,37,SAN,ORD,1723,24,14,0,0,0,35,0,13
488112,1,2,2158,1845,42,2200,224,255,207,162,193,SJU,EWR,1608,6,11,0,145,0,0,0,17
488174,1,2,1851,1815,2018,2000,147,165,129,18,36,SJU,MIA,1045,5,13,0,0,0,0,0,18
488294,1,2,1759,1520,2040,1805,221,225,198,155,159,ORD,PHX,1440,5,18,0,98,35,0,0,22
488348,1,2,2012,1900,2243,2200,151,180,130,43,72,ORD,SAT,1041,5,16,0,43,0,0,0,0
488495,1,2,1436,1255,2102,1920,266,265,240,102,101,DFW,SJU,2165,13,13,0,88,0,1,0,13
488553,1,2,2118,1950,2343,2215,265,265,214,88,88,ORD,LAX,1745,27,24,0,0,0,59,0,29
488615,1,2,1934,1835,2310,2210,216,215,168,60,59,JFK,MIA,1090,6,42,0,24,0,1,0,35
488677,1,2,1222,1145,1723,1700,181,195,164,23,37,RNO,DFW,1345,10,7,0,1,0,0,0,22
488708,1,2,1039,955,1405,1330,146,155,122,35,44,DFW,DTW,987,14,10,0,10,0,0,0,25
488739,1,2,1234,1200,1349,1315,195,195,170,34,34,DFW,SNA,1205,12,13,0,19,0,0,0,15
488770,1,2,928,900,1135,1110,187,190,162,25,28,MIA,DFW,1121,11,14,0,25,0,0,0,0
489145,1,2,1605,1455,1737,1610,92,75,67,87,70,STL,ORD,258,7,18,0,50,0,17,0,20
489176,1,2,2058,1530,2310,1720,192,170,137,350,328,CMH,DFW,927,6,49,0,0,10,22,0,318
489207,1,2,2139,2010,56,2325,137,135,119,91,89,DFW,CMH,927,6,12,0,18,0,2,0,71
489265,1,2,1055,1040,1356,1340,121,120,77,16,15,DEN,DFW,641,13,31,0,0,8,1,0,7
489384,1,2,1510,1410,1845,1740,215,210,194,65,60,BOS,MIA,1258,7,14,0,54,0,5,0,6
489500,1,2,733,710,1219,1200,226,230,201,19,23,JFK,STT,1623,4,21,0,19,0,0,0,0
489531,1,2,2229,2140,2311,2230,102,110,84,41,49,DFW,ABQ,569,7,11,0,41,0,0,0,0
489558,1,2,2023,1930,2153,2055,150,145,113,58,53,IND,DFW,762,13,24,0,0,11,5,0,42
489926,1,2,1235,1210,1442,1415,127,125,108,27,25,RDU,MIA,700,3,16,0,0,0,3,0,24
490046,1,2,918,850,1340,1325,142,155,128,15,28,LAS,DFW,1055,5,9,0,4,0,0,0,11
490108,1,2,2044,1825,2400,2145,136,140,111,135,139,LAX,DEN,862,5,20,0,15,0,0,0,120
490139,1,2,1843,1615,1954,1735,71,80,53,139,148,SFO,LAX,337,8,10,0,0,0,0,0,139
490170,1,2,1352,1300,2009,1915,257,255,220,54,52,LAX,ORD,1745,11,26,0,0,0,28,0,26
490201,1,2,2118,2010,110,5,172,175,153,65,68,ORD,MIA,1197,5,14,0,0,23,0,0,42
490232,1,2,1448,1355,1814,1745,146,170,126,29,53,DFW,ORF,1213,4,16,0,9,0,0,0,20
490263,1,2,820,735,1352,1305,212,210,179,47,45,SJC,DFW,1438,17,16,0,45,0,2,0,0
490294,1,2,1659,1520,1846,1710,167,170,143,96,99,MIA,IAH,964,8,16,0,96,0,0,0,0
490325,1,2,1533,1450,2205,2115,272,265,243,50,43,DFW,SJU,2165,12,17,0,29,0,7,0,14
490356,1,2,1002,920,1202,1110,180,170,154,52,42,DFW,SLC,988,5,21,0,22,0,10,0,20
490589,1,2,1041,945,1144,1045,183,180,162,59,56,DFW,PSP,1126,7,14,0,16,0,3,0,40
490620,1,2,606,600,945,900,279,240,257,45,6,LGA,DFW,1389,8,14,0,0,6,39,0,0
490713,1,2,1046,1020,1205,1125,139,125,110,40,26,DFW,DEN,641,8,21,0,0,0,14,0,26
490771,1,2,1943,1815,2305,2135,142,140,121,90,88,DEN,ORD,888,12,9,0,0,0,8,0,82
490860,1,2,1254,1230,1403,1335,129,125,109,28,24,DFW,DEN,641,7,13,0,6,0,4,0,18
490953,1,2,1141,1125,1416,1345,215,200,155,31,16,FLL,ORD,1182,40,20,0,0,0,15,0,16
491007,1,2,1955,1810,11,2225,196,195,176,106,105,TUS,ORD,1437,8,12,0,10,0,1,0,95
491031,1,2,1506,1435,1627,1550,141,135,108,37,31,DCA,ORD,612,14,19,0,0,0,24,0,13
491062,1,2,716,710,1103,1040,167,150,142,23,6,ORD,MCO,1005,4,21,0,0,6,17,0,0
491093,1,2,1814,1745,1916,1850,62,65,37,26,29,MIA,TPA,204,8,17,0,24,0,0,0,2
491186,1,2,1543,1410,1652,1520,69,70,47,92,93,DFW,SAT,247,9,13,0,84,0,0,0,8
491248,1,2,1506,1430,1729,1650,203,200,170,39,36,MIA,ORD,1197,8,25,0,17,0,3,0,19
491309,1,2,1043,1005,1144,1110,61,65,42,34,38,SAT,DFW,247,10,9,0,34,0,0,0,0
491340,1,2,1320,1230,1717,1630,177,180,162,47,50,ORD,FLL,1182,3,12,0,0,28,0,0,19
491700,1,2,1953,1705,2347,2125,174,200,158,142,168,DFW,LGA,1389,6,10,0,70,0,0,0,72
491731,1,2,1403,1130,1848,1615,165,165,142,153,153,PSP,DFW,1126,10,13,0,99,0,0,0,54
491762,1,2,1844,1730,1956,1845,192,195,164,71,74,DFW,LAX,1235,8,20,0,71,0,0,0,0
491855,1,2,2000,1750,2352,2210,172,200,154,102,130,DFW,LGA,1389,7,11,0,38,0,0,0,64
491886,1,2,1738,1600,1836,1705,58,65,42,91,98,SAT,DFW,247,10,6,0,0,0,6,0,85
492063,1,2,1149,1040,1441,1340,172,180,147,61,69,ORD,SAT,1041,7,18,0,0,32,0,0,29
492094,1,2,2042,2015,2147,2125,65,70,43,22,27,DFW,SAT,247,5,17,0,2,0,0,0,20
492264,1,2,1709,1659,2044,2014,275,255,218,30,10,LGA,DFW,1389,27,30,0,0,0,23,0,7
492357,1,2,2019,1955,16,2359,177,184,156,17,24,DFW,LGA,1389,9,12,0,16,0,0,0,1
492419,1,2,708,635,1215,1125,247,230,206,50,33,JFK,SJU,1597,8,33,0,33,0,17,0,0
492449,1,2,1411,1340,1609,1545,178,185,157,24,31,RSW,ORD,1120,13,8,0,0,0,0,0,24
492666,1,2,1955,1840,2238,2140,223,240,195,58,75,LGA,DFW,1389,5,23,0,52,0,0,0,6
492728,1,2,936,725,1407,1200,211,215,189,127,131,MSP,MIA,1501,5,17,0,127,0,0,0,0
492759,1,2,1407,1245,1559,1440,172,175,142,79,82,MCO,ORD,1005,10,20,0,0,0,4,0,75
492790,1,2,1731,1550,1857,1730,146,160,120,87,101,ORD,DEN,888,6,20,0,0,49,0,0,38
492905,1,2,1732,1715,2310,2250,218,215,192,20,17,LAS,ORD,1515,14,12,0,0,0,19,0,1
492998,1,2,2137,1900,141,2310,184,190,167,151,157,PHX,ORD,1440,7,10,0,7,0,0,0,144
493025,1,2,1256,1205,1531,1500,95,115,80,31,51,DEN,DFW,641,6,9,0,7,0,0,0,24
493087,1,2,1406,1350,1650,1635,104,105,83,15,16,ORD,DCA,612,4,17,0,0,15,0,0,0
493242,1,2,1437,1310,2058,1859,261,229,223,119,87,PSP,ORD,1652,30,8,0,0,0,61,0,58
493320,1,2,1430,1420,1704,1645,214,205,192,19,10,DCA,DFW,1192,9,13,0,10,0,9,0,0
493465,1,2,2100,1920,2325,2205,265,285,244,80,100,ORD,SJC,1829,3,18,0,0,10,0,0,70
493557,1,2,2025,2005,2121,2100,116,115,93,21,20,DFW,COS,592,7,16,0,10,0,1,0,10
493588,1,2,1718,1650,1940,1905,202,195,173,35,28,FLL,DFW,1119,9,20,0,0,0,7,16,12
493650,1,2,858,825,1225,1210,147,165,125,15,33,DFW,DCA,1192,3,19,0,4,0,0,0,11
493681,1,2,624,600,815,740,111,100,75,35,24,MCI,DFW,460,8,28,0,24,0,11,0,0
493771,1,2,1158,1135,1404,1345,186,190,159,19,23,MIA,DFW,1121,12,15,0,12,0,0,0,7
493833,1,2,1922,1815,2206,2120,104,125,87,46,67,DFW,ATL,732,6,11,0,12,0,0,0,34
493864,1,2,1336,1240,1815,1720,159,160,132,55,56,LAS,DFW,1055,17,10,0,19,0,0,0,36
493895,1,2,2150,2130,2339,2310,109,100,91,29,20,DFW,OMA,583,5,13,0,0,0,11,0,18
493922,1,2,1901,1830,2113,2040,192,190,170,33,31,RDU,DFW,1062,7,15,0,8,0,2,0,23
494011,1,2,1605,1440,2107,1945,182,185,158,82,85,LAS,STL,1372,2,22,0,8,0,0,0,74
494121,1,2,2251,2155,101,2359,70,64,50,62,56,ORD,DTW,235,8,12,0,0,0,20,0,42
494183,1,2,1423,1340,1624,1550,181,190,153,34,43,PBI,ORD,1144,7,21,0,0,0,0,0,34
494214,1,2,2352,2155,212,35,140,160,119,97,117,MIA,PHL,1013,4,17,0,8,0,0,0,89
494369,1,2,2107,1925,14,2235,127,130,108,99,102,ORD,BOS,867,6,13,0,47,9,0,0,43
494400,1,2,1340,1225,1935,1829,235,244,210,66,75,SEA,ORD,1721,9,16,0,0,0,45,0,21
494544,1,2,1125,1110,1259,1240,94,90,71,19,15,DFW,MCI,460,9,14,0,1,0,4,0,14
494619,1,2,1444,1425,1703,1645,139,140,120,18,19,DFW,MSP,852,7,12,0,6,0,0,0,12
494650,1,2,1352,1340,1631,1605,219,205,199,26,12,BWI,DFW,1217,10,10,0,12,0,14,0,0
494677,1,2,2034,1815,2230,2045,236,270,221,105,139,ORD,LAX,1745,6,9,0,0,8,0,0,97
494708,1,2,1025,915,1226,1115,121,120,106,71,70,SAT,STL,786,5,10,0,70,0,1,0,0
494739,1,2,1300,1225,1633,1555,153,150,130,38,35,STL,BOS,1046,7,16,0,0,0,3,0,35
494797,1,2,2145,2125,2317,2300,92,95,76,17,20,DFW,STL,551,3,13,0,7,0,0,0,10
494828,1,2,1610,1555,2052,2030,162,155,131,22,15,LAS,DFW,1055,8,23,0,15,0,7,0,0
494917,1,2,1359,1240,1528,1420,149,160,124,68,79,ORD,DEN,888,9,16,0,0,22,17,0,29
494948,1,2,1103,1030,1238,1155,155,145,113,43,33,PHL,ORD,678,29,13,0,9,0,10,0,24
495036,1,2,1435,1420,1750,1715,195,175,146,35,15,MIA,JFK,1090,28,21,0,0,0,20,0,15
495067,1,2,1310,1235,1508,1420,178,165,136,48,35,SJU,MIA,1045,28,14,0,0,0,13,0,35
495246,1,2,1117,945,1244,1050,87,65,50,114,92,MCO,MIA,193,7,30,0,92,0,22,0,0
495249,1,2,1530,825,1715,1005,165,160,138,430,425,SJU,MIA,1045,5,22,0,425,0,5,0,0
495311,1,2,1632,1552,1733,1700,61,68,39,33,40,MCO,MIA,193,5,17,0,3,0,0,0,30
495373,1,2,659,545,1029,855,210,190,175,94,74,JFK,MIA,1090,14,21,0,74,0,20,0,0
495431,1,2,2224,2150,2320,2255,176,185,157,25,34,DFW,ONT,1189,6,13,0,10,0,0,0,15
495458,1,2,1848,1825,2135,2100,227,215,205,35,23,ORF,DFW,1213,9,13,0,0,0,12,0,23
495489,1,2,958,930,1154,1130,116,120,99,24,28,MIA,RDU,700,3,14,0,6,0,0,0,18
495681,1,2,2211,2115,21,2340,130,145,108,41,56,MIA,DCA,920,4,18,0,41,0,0,0,0
495712,1,2,1949,1930,2057,2030,68,60,43,27,19,TPA,MIA,204,8,17,0,0,0,8,0,19
495743,1,2,1808,1450,2352,2045,224,235,202,187,198,SEA,ORD,1721,5,17,0,50,0,100,0,37
495774,1,2,1921,1740,2018,1845,57,65,41,93,101,DFW,SAT,247,6,10,0,42,0,0,0,51
495947,1,2,1014,835,1217,1035,243,240,209,102,99,ORD,LAS,1515,10,24,0,85,14,3,0,0
496009,1,2,1623,1505,1752,1650,209,225,195,62,78,AUS,SJC,1476,2,12,0,25,0,0,0,37
496098,1,2,1611,1530,1725,1700,74,90,58,25,41,ORD,MCI,403,3,13,0,9,16,0,0,0
496191,1,2,1912,1840,2034,1945,142,125,105,49,32,DFW,DEN,641,6,31,0,8,0,17,0,24
496284,1,2,1001,945,1135,1120,94,95,76,15,16,DFW,STL,551,6,12,0,9,0,0,0,6
496346,1,2,1812,1735,1905,1759,113,84,45,66,37,DTW,ORD,235,12,56,0,0,17,29,0,20
496374,1,2,2010,1850,2212,2105,182,195,167,67,80,ORD,ELP,1236,3,12,0,0,25,0,0,42
496405,1,2,1244,1225,1416,1355,92,90,72,21,19,DFW,MCI,460,6,14,0,18,0,2,0,1
496498,1,2,944,915,1259,1240,135,145,118,19,29,DFW,MCO,984,3,14,0,19,0,0,0,0
496587,1,2,1302,1155,1519,1420,137,145,115,59,67,MIA,BWI,946,6,16,0,59,0,0,0,0
496711,1,2,1109,925,1347,1205,278,280,256,102,104,ORD,SJC,1829,3,19,0,0,102,0,0,0
496772,1,2,1734,1640,1834,1745,60,65,42,49,54,DFW,SAT,247,5,13,0,29,0,0,0,20
496803,1,2,1425,1400,1627,1555,182,175,152,32,25,MCO,DFW,984,20,10,0,6,0,7,0,19
496923,1,2,822,630,1056,905,154,155,142,111,112,BWI,MIA,946,3,9,0,111,0,0,0,0
496954,1,2,934,835,1342,1235,188,180,159,67,59,ORD,MIA,1197,8,21,0,0,59,8,0,0
496985,1,2,959,915,1216,1135,257,260,243,41,44,STL,SFO,1736,3,11,0,41,0,0,0,0
497074,1,2,1925,1855,2202,2120,217,205,196,42,30,RDU,AUS,1162,4,17,0,30,0,12,0,0
497314,1,2,1937,1800,2033,1815,116,75,56,138,97,IND,ORD,177,28,32,0,0,2,41,0,95
497345,1,2,2136,1905,123,2300,167,175,146,143,151,ORD,PBI,1144,4,17,0,0,27,0,0,116
497376,1,2,1431,1245,2000,1815,209,210,192,105,106,SAN,STL,1558,5,12,0,13,0,0,0,92
497407,1,2,2050,1855,15,2215,145,140,114,120,115,STL,LGA,887,17,14,0,15,0,5,0,100
497527,1,2,1431,1250,1517,1355,166,185,148,82,101,DFW,LAS,1055,8,10,0,14,0,0,0,68
497620,1,2,1035,920,1249,1140,134,140,115,69,75,MIA,DCA,920,4,15,0,69,0,0,0,0
497651,1,2,1835,1825,2053,2020,198,175,163,33,10,CLT,DFW,936,5,30,0,0,0,23,0,10
497678,1,2,2132,2105,2236,2205,124,120,102,31,27,DFW,DEN,641,5,17,0,4,0,4,0,23
497709,1,2,1921,1830,2028,1940,67,70,43,48,51,SAT,DFW,247,14,10,0,0,0,7,0,41
497829,1,2,1225,1215,1624,1600,179,165,149,24,10,MCO,SJU,1189,5,25,0,10,0,14,0,0
497950,1,2,2045,2005,2254,2150,189,165,131,64,40,BOS,ORD,867,41,17,0,0,0,24,0,40
497977,1,2,1309,1120,1849,1659,220,219,196,110,109,LAS,ORD,1515,9,15,0,0,0,13,0,97
498008,1,2,649,635,946,855,237,200,197,51,14,IAD,DFW,1172,17,23,0,14,0,37,0,0
